cityName,country,lat,lng,temp,humidity,cloudiness,winds
chaumont,fr,48.11,5.14,60.8,87,80,16.11
new norfolk,au,-42.78,147.06,57.2,67,40,8.05
portland,au,45.52,-122.67,61.16,57,75,5.82
luderitz,na,-26.65,15.16,60.08,86,32,6.73
hollins,us,37.35,-79.95,73.83,81,75,4.7
qingdao,cn,36.09,120.35,53.6,87,0,2.24
albany,au,42.65,-73.75,61.27,86,90,12.75
pevek,ru,69.7,170.27,37.22,100,68,0.69
qaanaaq,gl,77.48,-69.36,15.89,100,12,11.77
hermanus,za,-34.42,19.24,56.66,93,12,6.62
tiksi,ru,71.64,128.87,28.22,90,92,17.81
povarovo,ru,56.08,37.05,49.01,81,0,13.42
svetlaya,ru,46.54,138.33,56.03,100,100,17.36
jining,cn,35.41,116.58,62.06,75,68,4.5
chokurdakh,ru,70.62,147.9,30.02,94,80,6.4
jiuquan,cn,39.73,98.49,21.11,69,0,3.38
scarborough,gb,54.28,-0.41,38.64,81,0,5.82
ribeira grande,pt,38.52,-28.7,72.14,99,56,19.6
ulaangom,mn,49.98,92.07,18.95,56,0,3.15
talnakh,ru,69.49,88.39,46.49,82,48,14.45
batagay,ru,67.65,134.64,24.17,80,76,4.83
chippewa falls,us,44.94,-91.39,46.06,70,90,4.7
east london,za,-33.02,27.91,69.08,100,68,16.58
bredasdorp,za,-34.53,20.04,66.2,82,92,12.75
hilo,us,19.71,-155.08,72.25,79,75,3.36
cherskiy,ru,68.75,161.3,35.78,87,92,5.84
tukan,ru,53.84,57.45,32.63,91,88,6.4
tura,ru,25.52,90.21,68.36,92,0,2.37
ancud,cl,-41.87,-73.83,48.02,84,92,7.18
thompson,ca,55.74,-97.86,33.8,86,90,5.82
cabo san lucas,mx,22.89,-109.91,87.01,62,20,11.41
rikitea,pf,-23.12,-134.97,70.07,100,92,19.48
hohhot,cn,40.81,111.65,24.8,73,0,4.47
hobart,au,-42.88,147.33,57.2,67,40,8.05
aklavik,ca,68.22,-135.01,27.63,63,20,6.93
leningradskiy,ru,69.38,178.42,36.59,96,92,10.87
mataura,pf,-46.19,168.86,47.93,100,64,10.54
munai,ph,7.97,124.06,73.22,96,48,2.59
lorengau,pg,-2.02,147.27,80.6,100,80,7.18
pitimbu,br,-7.47,-34.81,77.0,83,20,10.29
xuddur,so,4.12,43.89,74.03,70,8,11.77
esperance,au,10.24,-61.45,78.8,88,20,4.7
sarahan,in,31.51,77.79,11.48,80,0,2.15
port hardy,ca,50.7,-127.42,50.0,87,90,2.24
makakilo city,us,21.35,-158.09,78.89,100,90,4.7
kirovskaya,ru,46.97,40.04,33.35,74,0,4.94
cairns,au,-16.92,145.77,78.8,69,20,6.93
wuwei,cn,37.93,102.64,26.6,74,8,2.93
qostanay,kz,53.17,63.58,39.2,80,40,13.42
pisco,pe,-13.71,-76.2,71.6,30,90,9.17
morgan city,us,29.7,-91.21,83.66,79,1,4.72
bubaque,gw,11.28,-15.83,80.6,88,20,4.7
lavrentiya,ru,65.58,-170.99,45.23,90,92,16.69
sao paulo de olivenca,br,-3.38,-68.87,77.36,93,36,0.69
coos bay,us,43.37,-124.22,59.45,72,1,12.75
cidreira,br,-30.17,-50.22,60.8,78,8,16.24
saskylakh,ru,71.97,114.09,36.86,94,92,4.61
kolarovo,sk,56.34,84.94,36.68,81,0,5.28
faya,td,18.39,42.45,64.4,25,0,4.7
gizo,sb,31.8,34.94,75.2,73,20,2.24
kapaa,us,22.08,-159.32,82.53,71,90,4.7
soyo,ao,-6.13,12.37,74.3,92,56,3.6
arawa,pg,7.05,3.9,75.74,97,100,2.71
solnechnyy,ru,50.72,136.64,46.58,71,80,3.83
ichinoseki,jp,38.93,141.13,73.4,69,75,13.87
agadez,ne,16.97,7.99,76.46,29,64,3.15
yellowknife,ca,62.45,-114.38,30.2,58,75,10.29
shache,cn,38.42,77.24,46.49,69,80,3.49
ushuaia,ar,-54.81,-68.31,48.2,66,75,3.36
georgetown,sh,6.8,-58.16,82.4,78,20,6.93
alice,za,27.75,-98.07,86.09,63,1,11.41
medicine hat,ca,50.04,-110.68,57.2,33,40,4.7
quang ngai,vn,15.12,108.8,71.78,90,56,2.71
saint george,bm,39.45,22.34,53.6,93,20,3.36
sjovegan,no,68.87,17.85,34.92,100,92,21.92
mar del plata,ar,-46.43,-67.52,61.43,38,36,16.24
fare,pf,-16.7,-151.02,78.98,99,0,11.65
mabay,ph,20.35,-76.78,75.2,88,90,3.36
te anau,nz,-45.41,167.72,47.3,95,56,2.93
upernavik,gl,72.79,-56.15,31.55,100,92,13.33
biu,ng,10.61,12.19,72.32,82,12,3.94
vaini,to,15.34,74.49,71.24,88,36,4.94
kloulklubed,pw,7.04,134.26,77.0,100,75,5.82
dingle,ie,11.0,122.67,79.79,95,12,6.17
barguzin,ru,53.62,109.63,19.58,84,48,0.58
lompoc,us,34.64,-120.46,67.5,72,90,12.75
atasu,kz,48.68,71.64,44.06,98,92,13.0
qeshm,ir,26.96,56.27,77.85,88,0,4.7
la romana,do,18.43,-68.97,74.43,100,75,6.62
margate,za,-43.03,147.26,57.2,67,40,8.05
kasane,bw,-17.8,25.16,64.85,38,0,9.31
banyo,cm,6.75,11.81,62.96,92,8,3.27
ostersund,se,63.18,14.64,33.8,86,0,11.41
coquimbo,cl,-29.95,-71.34,53.6,87,75,6.93
jamestown,sh,-33.21,138.6,72.95,34,20,10.2
isangel,vu,-19.55,169.27,74.3,100,0,9.19
lyaskelya,ru,61.77,31.02,40.1,86,48,10.65
rudnya,ru,50.8,44.56,45.5,85,0,10.31
san pedro buenavista,mx,20.01,-97.11,87.8,55,5,6.93
punto fijo,ve,11.69,-70.21,78.62,94,56,5.95
orshanka,ru,56.92,47.89,50.18,94,92,18.14
kombissiri,bf,12.07,-1.34,77.0,83,20,2.24
parabel,ru,58.71,81.5,48.38,61,8,8.75
port blair,in,11.67,92.75,81.23,100,76,17.36
sao felix do xingu,br,-6.64,-51.99,76.64,88,8,2.59
clyde river,ca,70.47,-68.59,28.4,92,90,35.57
carutapera,br,-1.2,-46.02,79.43,84,56,9.42
norman wells,ca,65.28,-126.83,30.2,63,75,17.22
businga,cd,3.34,20.89,68.72,98,24,3.6
college,us,64.86,-147.8,45.73,10,90,3.36
colares,pt,38.8,-9.45,61.72,77,0,6.93
kruisfontein,za,-34.0,24.73,63.95,97,76,11.32
mahebourg,mu,-20.41,57.7,69.8,88,20,5.82
dali,cn,25.6,100.24,51.8,100,48,1.92
yerbogachen,ru,61.28,108.01,31.91,98,88,2.71
puerto ayora,ec,-0.74,-90.35,75.2,64,0,18.34
dafeng,cn,33.2,120.46,70.52,74,0,9.98
mudon,mm,16.26,97.73,75.11,99,88,3.49
bitam,ga,2.08,11.49,70.79,98,88,2.37
ponta do sol,cv,-20.63,-46.0,64.22,99,92,4.16
bluff,nz,-23.58,149.07,79.07,55,0,6.96
kapit,my,2.02,112.94,72.5,98,92,2.93
tasiilaq,gl,65.61,-37.64,37.4,51,88,32.21
vestmannaeyjar,is,63.44,-20.27,43.16,100,92,15.79
catuday,ph,16.29,119.81,80.42,99,0,2.93
tuatapere,nz,-46.13,167.69,47.48,100,68,10.31
keti bandar,pk,24.14,67.45,81.86,95,0,11.1
seymchan,ru,62.93,152.39,28.58,86,88,11.32
airai,pw,-8.93,125.41,81.5,31,0,2.26
sonipat,in,29.0,77.02,69.8,88,0,2.71
beringovskiy,ru,63.05,179.32,45.68,100,92,20.6
dubbo,au,-32.25,148.6,60.8,55,0,13.87
shiyan,cn,32.65,110.78,59.27,73,76,1.36
eureka,us,40.8,-124.16,62.33,72,1,18.34
victoria,sc,5.28,115.24,80.38,83,75,2.24
kavaratti,in,10.57,72.64,80.24,100,56,4.61
vila velha,br,-3.71,-38.6,78.8,78,0,6.93
tondano,id,1.3,124.91,84.2,70,20,1.12
yining,cn,29.04,114.56,59.63,73,0,2.59
puro,ph,13.13,123.76,81.41,93,36,3.38
westport,nz,53.8,-9.52,44.69,96,44,12.66
mega,et,4.06,38.32,59.45,94,12,4.94
saint-philippe,re,45.36,-73.48,52.47,87,90,3.36
mithi,pk,24.74,69.8,71.87,34,0,5.95
soligalich,ru,59.08,42.29,45.05,97,92,11.88
namatanai,pg,-3.66,152.44,83.03,100,48,7.96
inta,ru,66.04,60.13,33.17,95,76,3.71
kurilsk,ru,45.23,147.88,53.42,100,100,11.65
provideniya,ru,64.42,-173.23,45.95,99,92,20.83
senno,by,57.76,27.95,46.4,87,44,6.71
ponta delgada,pt,37.73,-25.67,69.8,83,20,10.29
srednekolymsk,ru,67.46,153.71,31.19,86,92,6.62
lebu,cl,8.96,38.73,48.47,54,0,4.94
egvekinot,ru,66.32,-179.17,38.57,98,92,5.61
bonga,et,7.26,36.25,57.92,98,68,2.37
hasaki,jp,35.73,140.83,78.31,74,20,16.11
bafq,ir,31.6,55.4,62.96,52,0,9.75
christchurch,nz,-43.53,172.64,57.2,67,0,5.82
kupang,id,-10.16,123.6,82.4,61,20,2.24
paragominas,br,-3.0,-47.35,77.63,87,68,5.06
torbay,ca,47.66,-52.73,42.8,81,5,5.82
flinders,au,-34.58,150.85,55.4,100,75,13.87
sitka,us,37.17,-99.65,48.56,100,92,7.4
khatanga,ru,71.98,102.47,33.8,95,92,3.38
xuanhua,cn,40.61,115.04,37.4,40,0,6.4
kavieng,pg,-2.57,150.8,84.65,100,64,9.64
zhanaozen,kz,43.35,52.85,35.6,79,0,2.93
ola,ru,59.58,151.3,37.4,47,20,11.18
vardo,no,39.62,-77.74,70.18,78,90,8.05
bethanien,na,-26.5,17.16,69.53,23,92,3.83
osypenko,ua,48.04,34.39,44.6,75,0,6.71
oranjemund,na,-28.55,16.43,56.75,96,24,2.37
klaksvik,fo,62.23,-6.59,44.6,75,92,23.04
griffith,au,-34.29,146.06,68.54,46,0,6.96
kankan,gn,10.38,-9.3,69.98,98,80,4.16
nemuro,jp,43.32,145.57,57.11,100,92,36.15
lengshuijiang,cn,27.66,111.45,59.63,69,8,2.71
qasigiannguit,gl,68.82,-51.19,32.0,98,8,3.36
sao filipe,cv,14.9,-24.5,80.42,94,0,8.63
karasjok,no,69.47,25.52,28.4,86,20,23.04
beidao,cn,34.57,105.89,41.36,88,56,1.92
sistranda,no,63.73,8.83,39.2,93,40,5.82
dhidhdhoo,mv,6.88,73.1,76.46,100,92,15.23
krabi,th,8.06,98.92,75.2,100,75,1.12
ugoofaaru,mv,5.67,73.0,76.55,100,92,16.91
dukat,ru,42.44,22.31,43.52,85,0,1.59
visby,se,57.64,18.3,48.2,87,92,10.29
zaozerne,ua,51.37,23.94,54.5,73,0,13.44
mouzouras,gr,35.53,24.15,60.8,93,20,3.15
jalu,ly,29.03,21.55,72.23,50,0,2.93
coxim,br,-18.5,-54.75,75.92,80,8,6.62
plouzane,fr,48.38,-4.62,51.8,66,90,18.34
nikolayevka,ru,46.73,38.57,48.29,100,0,8.86
abu samrah,qa,35.3,37.18,56.93,51,0,3.15
bure,et,10.52,10.33,71.06,84,56,7.96
turgoyak,ru,55.15,60.12,34.7,87,68,8.75
husavik,is,50.56,-96.99,35.15,100,20,4.05
port macquarie,au,-31.43,152.91,64.4,59,40,12.75
inyonga,tz,-6.72,32.06,79.07,33,100,6.17
cilegon,id,-6.02,106.05,78.8,78,20,5.82
laguna,br,27.52,-110.01,91.4,36,5,8.05
shush,ir,55.6,89.45,42.89,63,0,11.1
sydney,au,-33.85,151.22,61.93,87,75,28.86
birjand,ir,32.86,59.22,60.8,38,0,9.17
naze,jp,5.43,7.07,75.2,100,40,4.5
lagoa,pt,37.14,-8.45,71.6,64,0,1.12
fort nelson,ca,58.81,-122.69,32.0,63,90,8.05
derzhavinsk,kz,51.1,66.31,35.78,83,0,9.19
singapore,sg,1.29,103.85,79.66,88,75,2.24
saldanha,za,41.42,-6.55,45.5,71,0,7.4
orlovskiy,ru,46.87,42.05,34.25,79,0,4.61
belaya gora,ru,68.54,146.19,26.87,97,76,3.6
erzin,ru,36.95,36.2,63.54,67,0,3.36
tambacounda,sn,13.77,-13.67,82.4,88,0,2.24
petropavlovsk-kamchatskiy,ru,53.05,158.65,48.2,73,0,15.66
kimbe,pg,-5.56,150.15,82.22,98,8,8.97
atuona,pf,-9.8,-139.03,78.89,100,20,8.52
meulaboh,id,4.14,96.13,79.7,100,100,3.83
ilulissat,gl,69.22,-51.1,32.0,98,8,3.36
abu dhabi,ae,24.47,54.37,85.05,79,0,5.82
quatre cocos,mu,-20.21,57.76,69.8,88,20,5.82
hithadhoo,mv,-0.6,73.08,82.04,100,56,19.6
haimen,cn,31.87,121.18,69.89,85,8,8.63
amberley,nz,-43.15,172.73,57.2,67,0,5.82
peleduy,ru,59.63,112.75,23.45,89,8,4.38
havoysund,no,71.0,24.66,35.6,93,92,18.34
tupik,ru,54.43,119.94,30.83,74,92,8.52
tupelo,us,34.26,-88.7,84.92,51,1,3.36
otane,nz,-39.89,176.62,60.89,61,80,6.85
kaitangata,nz,-46.28,169.85,47.93,100,88,12.33
talcahuano,cl,-36.72,-73.12,53.6,76,75,8.05
shar,kz,7.3,8.73,74.21,94,56,3.83
port-gentil,ga,-0.72,8.78,77.0,94,20,3.36
valparaiso,us,41.47,-87.06,60.31,86,90,10.29
matara,lk,-13.74,-72.9,46.13,70,0,1.92
fortuna,us,38.18,-1.13,66.2,88,0,1.12
cap malheureux,mu,-19.98,57.61,69.8,88,20,5.82
doha,kw,25.29,51.53,87.8,62,0,3.36
oktyabrskoye,ru,56.73,85.44,37.13,84,0,4.38
turukhansk,ru,65.8,87.96,46.4,89,64,20.49
grindavik,is,63.84,-22.43,38.08,86,75,17.22
lasa,cn,34.92,32.53,69.01,56,0,6.93
nong chik,th,6.84,101.18,75.38,96,80,3.15
inuvik,ca,68.36,-133.71,27.41,58,20,11.41
songea,tz,-10.68,35.65,55.49,86,0,1.81
svetlogorsk,ru,53.14,59.15,33.8,80,40,6.71
tautira,pf,-17.73,-149.15,82.4,61,75,10.29
rach gia,vn,10.02,105.08,76.91,98,36,4.83
yagodnoye,ru,62.52,149.63,23.45,83,88,5.5
lexington,us,38.05,-84.5,79.92,71,1,4.7
saint-augustin,ca,44.83,-0.61,58.19,87,75,10.29
bud,no,62.91,6.91,40.44,93,68,6.93
namibe,ao,-15.19,12.15,67.46,100,88,8.08
sulangan,ph,11.14,123.72,83.12,100,56,9.19
mananjary,mg,-19.16,46.8,49.37,86,0,2.48
mezen,ru,65.85,44.24,33.35,97,36,3.71
tual,id,-5.67,132.75,80.15,99,0,7.29
jiexiu,cn,37.02,111.92,44.33,56,0,2.71
batemans bay,au,-35.71,150.18,54.23,100,100,7.4
geraldton,au,49.72,-86.95,33.8,91,75,5.82
collie,au,-33.36,116.15,56.03,77,0,11.54
mwinilunga,zm,-11.73,24.43,64.67,45,0,4.61
ondjiva,ao,-17.07,15.73,82.4,17,92,8.08
marck,fr,50.95,1.95,55.4,87,90,23.04
el tarra,co,8.57,-73.09,67.91,91,80,1.14
ocos,gt,14.51,-92.19,81.52,78,75,4.7
beni,cd,0.49,29.47,66.38,99,88,2.93
hobyo,so,5.35,48.53,76.55,85,0,18.25
cotonou,bj,6.37,2.43,80.6,88,40,9.17
olutanga,ph,7.31,122.85,79.25,100,68,7.52
pundaguitan,ph,6.37,126.17,83.12,100,20,4.72
bambous virieux,mu,-20.34,57.76,69.8,88,20,5.82
nizhneudinsk,ru,54.91,99.03,32.36,94,20,4.27
nanakuli,us,21.39,-158.15,78.91,100,90,4.7
iskateley,ru,67.68,53.15,36.14,100,48,14.45
kununurra,au,-15.77,128.74,82.4,65,0,6.93
harper,lr,30.3,-99.24,84.88,50,40,11.41
nantucket,us,41.28,-70.1,56.21,79,1,5.82
maine-soroa,ne,13.21,12.02,75.83,42,0,4.05
marsa matruh,eg,31.35,27.25,75.2,73,0,4.7
camaqua,br,-30.85,-51.81,59.45,78,36,13.78
polunochnoye,ru,60.87,60.43,31.55,77,0,6.51
bandarbeyla,so,9.49,50.81,76.64,95,0,11.21
mantua,cu,45.16,10.79,59.72,100,75,2.24
najran,sa,17.54,44.22,69.8,22,0,2.59
severo-kurilsk,ru,50.68,156.12,47.57,88,56,16.02
goderich,sl,43.74,-81.71,59.45,100,92,10.98
beyneu,kz,45.32,55.19,33.53,85,8,3.04
kalabo,zm,-15.0,22.67,70.52,32,0,11.43
bilma,ne,18.69,12.92,69.8,24,0,3.38
zhigansk,ru,66.77,123.37,25.79,94,56,6.62
sirvintos,lt,55.05,24.95,47.34,87,0,6.93
mbale,ug,1.07,34.17,58.55,100,68,2.59
selaphum,th,16.03,103.94,73.4,88,0,6.73
lamu,ke,0.57,122.3,78.08,95,68,2.15
narsaq,gl,60.91,-46.05,33.8,74,24,3.36
mount gambier,au,-37.83,140.78,63.59,87,92,2.37
arraial do cabo,br,-22.97,-42.02,67.28,100,92,15.79
honningsvag,no,70.98,25.97,38.75,100,92,14.0
kathu,th,-27.7,23.05,51.98,53,0,3.6
souillac,mu,45.6,-0.6,57.2,93,90,19.46
buraydah,sa,26.33,43.97,78.8,27,0,6.93
rock sound,bs,24.9,-76.2,82.85,100,48,18.48
taoudenni,ml,22.68,-3.98,75.02,27,0,9.53
iqaluit,ca,63.75,-68.52,28.4,63,90,18.34
esfarayen,ir,37.08,57.51,50.0,87,75,9.17
biak,id,-0.91,122.88,78.53,97,76,3.27
dekar,bw,-21.53,21.93,61.43,37,0,9.08
kutum,sd,14.2,24.66,71.15,24,0,9.64
khash,ir,28.22,61.21,52.07,56,48,2.71
katsuura,jp,33.93,134.5,69.8,94,75,2.24
makat,kz,47.65,53.35,32.18,76,0,5.17
nouadhibou,mr,20.93,-17.03,77.0,61,8,17.22
vikhorevka,ru,56.12,101.17,37.4,93,40,2.82
kattivakkam,in,13.22,80.32,78.8,83,40,9.31
vysokogornyy,ru,50.1,139.13,44.69,81,68,3.15
sept-iles,ca,50.2,-66.38,35.6,67,75,0.58
marzuq,ly,14.4,46.47,50.0,66,0,2.71
zahnitkiv,ua,48.04,28.9,49.64,81,0,11.21
bumba,cd,2.18,22.47,70.43,98,0,4.83
muros,es,42.77,-9.06,48.2,87,20,5.82
clifton,us,-27.93,151.91,62.6,77,90,12.75
palana,ru,59.08,159.95,42.44,97,92,6.4
aurillac,fr,44.93,2.44,50.0,93,100,3.36
kapiri mposhi,zm,-13.97,28.68,64.58,46,0,10.2
kalga,ru,50.92,118.9,27.14,68,0,2.59
una,in,-15.29,-39.07,78.8,78,40,10.29
khonsa,in,26.99,95.51,64.58,98,80,2.59
vostok,ru,46.45,135.83,48.02,88,92,2.26
shitanjing,cn,39.23,106.34,23.63,54,0,2.37
udachnyy,ru,66.42,112.4,34.79,97,92,5.61
majene,id,-3.54,118.97,82.67,95,8,10.42
teya,ru,21.05,-89.07,82.4,78,75,6.93
saint-pierre,pm,48.95,4.24,59.99,87,48,8.05
dongli,cn,24.18,117.61,71.6,78,0,8.95
bolshoy lug,ru,52.08,104.09,33.8,88,0,6.71
kudahuvadhoo,mv,2.67,72.89,84.2,96,76,25.3
kuroiso,jp,36.97,140.05,75.2,60,20,11.41
kuala lipis,my,4.19,102.05,72.32,100,68,3.15
belyy yar,ru,53.6,91.39,33.8,79,0,1.14
mackenzie,ca,55.34,-123.09,53.6,40,75,5.82
sabancuy,mx,18.97,-91.18,83.3,100,32,13.22
jumla,np,29.28,82.18,29.75,94,0,1.36
hambantota,lk,6.12,81.12,78.98,100,68,7.4
paamiut,gl,61.99,-49.67,39.65,94,68,22.95
taunggyi,mm,20.78,97.03,60.8,95,12,2.37
iracoubo,gf,5.48,-53.21,79.7,74,0,5.95
constitucion,mx,23.99,-104.67,68.0,56,90,11.41
dallas,us,32.78,-96.8,86.13,61,40,12.75
mackay,au,53.65,-115.58,47.3,52,75,9.17
cape town,za,-33.93,18.42,66.2,72,0,24.16
micheweni,tz,-4.97,39.83,77.72,100,92,11.88
selfoss,is,63.94,-21.0,37.4,100,40,8.05
longyearbyen,sj,78.22,15.63,24.8,85,75,2.24
pangody,ru,65.85,74.49,45.95,85,80,16.35
sorland,no,67.67,12.69,37.4,86,75,14.99
benghazi,ly,32.12,20.07,77.36,100,36,9.31
quetta,pk,30.19,67.02,43.43,38,0,3.27
phan thiet,vn,10.93,108.1,79.07,100,48,6.17
ostrovnoy,ru,68.05,39.51,28.67,91,0,13.44
luwuk,id,-0.95,122.79,78.53,97,76,3.27
yumen,cn,40.29,97.04,24.8,66,0,1.7
melfi,td,41.0,15.66,53.6,93,40,8.05
nome,us,30.04,-94.42,83.07,81,1,6.93
mnogovershinnyy,ru,53.94,139.92,44.42,74,64,5.61
price,us,39.6,-110.81,51.08,54,90,4.7
fairbanks,us,64.84,-147.72,45.75,10,90,3.36
shorapani,ge,42.1,43.08,62.6,45,0,29.97
chingirlau,kz,51.09,54.08,36.14,75,64,9.98
seoul,kr,37.57,126.98,59.18,77,0,1.12
jawhar,so,19.91,73.23,69.62,97,8,3.15
magadan,ru,59.56,150.8,37.4,47,20,11.18
suceveni,ro,46.54,27.65,50.07,81,0,14.99
karonga,mw,-9.94,33.93,75.2,97,0,11.43
serebryansk,kz,49.68,83.3,33.8,100,0,2.24
zhangjiakou,cn,40.77,114.88,34.16,39,0,6.29
xian,cn,42.76,-8.49,50.68,87,20,5.82
guerrero negro,mx,27.97,-114.04,71.78,75,0,12.1
bhasawar,in,27.03,77.03,65.12,79,0,2.71
maragogi,br,-9.01,-35.22,75.47,87,92,6.85
gravelbourg,ca,49.88,-106.56,42.44,80,88,5.61
minna,ng,9.62,6.55,74.21,95,48,2.15
luanda,ao,-8.83,13.24,75.2,83,40,9.17
yaan,cn,7.38,8.57,74.21,93,64,4.94
lerwick,gb,60.15,-1.15,41.02,86,36,8.05
blind river,ca,46.19,-82.96,50.94,82,90,4.7
darlawn,in,24.02,92.93,67.37,97,64,2.04
mehamn,no,71.03,27.85,37.85,94,92,13.33
burns lake,ca,54.23,-125.76,48.92,61,32,7.18
glyadyanskoye,ru,54.91,65.09,40.73,81,44,15.01
mikhaylovka,kz,52.96,103.29,36.41,86,68,6.85
balila,ph,32.38,35.93,68.0,64,8,1.81
almansa,es,38.87,-1.1,57.2,54,0,5.82
kjopsvik,no,68.1,16.37,37.4,100,68,11.41
peniche,pt,39.36,-9.38,59.9,82,0,6.93
morag,pl,53.92,19.93,52.25,79,64,9.53
riwaka,nz,-41.08,173.0,61.07,62,0,1.36
ushumun,ru,52.78,126.54,39.83,44,0,3.83
yarada,in,17.65,83.27,85.28,100,20,9.19
nyagan,ru,62.14,65.43,42.08,97,92,9.19
artigas,uy,-30.4,-56.46,54.5,70,12,9.64
wajima,jp,37.4,136.9,72.14,83,88,18.25
chuy,uy,-33.69,-53.46,52.88,88,36,11.1
